Households_with_Internet,Households_with_Computer,Age_Group_0_29,Households_with_Car_Jeep_Van,Households_with_Telephone_Mobile_Phone,LR
482,3725,100250,1982,21471,0.75031593
162,1329,80723,631,7895,0.533199315
168,1194,37127,507,5856,0.746508997
6394,36186,940424,11356,228799,0.788852776
948,10393,505558,3454,87445,0.738366737
273,5067,232286,907,25563,0.730288449
997,10310,414878,2726,63308,0.74991606
1630,8872,427629,3589,45766,0.557604568
288,2368,216742,1167,15314,0.6043936
179,1625,97082,695,6235,0.576545309
149,2462,278569,1683,19192,0.601568347
291,1906,183343,1865,20670,0.602144182
5032,19306,545961,15048,93619,0.699860277
510,4333,291097,4790,30613,0.474602909
1218,14063,552671,2996,75903,0.551552063
1828,26263,1286592,3672,139069,0.473175434
1364,13524,650509,4112,93630,0.559002681
2078,25286,1072312,5560,151699,0.529668368
1421,15145,612737,3927,80962,0.563911667
5121,45956,1778277,13979,271238,0.605827391
4358,31254,1159991,11760,163277,0.576147933
1948,15011,639385,6904,92394,0.65585043
1192,10410,434221,3504,57166,0.616539359
5135,27948,799874,13323,124737,0.601178226
8817,34479,767147,21112,139869,0.666898634
5146,22124,648056,18234,137392,0.706750358
5651,26357,604908,16081,128081,0.727786343
3073,17636,629153,9295,103909,0.676513373
1923,11340,618633,3934,78269,0.582669063
524,3753,135463,1326,18890,0.657971434
5316,37541,1048990,8700,168487,0.676100718
1933,24699,779850,3757,105749,0.647274405
1211,10615,419921,2583,55345,0.617880284
2523,12959,458796,5837,78595,0.587541486
747,8627,301518,1814,43203,0.539034598
3109,23468,895775,10052,164899,0.655875752
29117,85123,659453,53778,252808,0.798437403
1631,12360,442061,4785,86710,0.689144794
1175,13566,563089,2479,86067,0.602938715
1166,12084,583436,3533,72141,0.524543888
1448,11893,499214,2867,77068,0.565040377
10943,38065,1031221,15192,239601,0.712350344
9322,48818,2259507,16431,332800,0.645205102
3534,34438,1623320,8121,215363,0.656419847
2883,31210,1916033,8150,198832,0.495377659
2518,24318,937283,6211,154925,0.646483634
5357,63525,2511004,9639,295922,0.523066702
7951,79729,4390564,14050,530442,0.57093809
5210,39636,2008655,7305,272320,0.616275849
32323,141387,4149420,46714,930784,0.679904783
12787,77210,2745828,18658,544290,0.673534136
105185,307381,5104876,83803,1475106,0.760125821
31725,118459,2766489,24013,780325,0.738952863
4273,34128,1942335,7898,297338,0.620849151
3551,32862,1678057,6602,191057,0.55455332
30751,99261,2587164,22295,659579,0.743336999
136618,252644,2025389,85605,857883,0.797950005
20665,115871,4763943,38610,869569,0.67773627
8970,62108,3243971,14598,533930,0.689683209
9076,67707,2866678,14605,499045,0.76987642
565,8881,860869,2671,100748,0.494015652
590,9115,692650,2110,82823,0.489086055
845,7195,462098,2538,78836,0.544843416
1944,19976,1597269,6290,242670,0.512569342
1944,13550,944961,3714,126305,0.531835909
874,11925,820367,1754,89533,0.46021738
591,9563,745027,1285,64808,0.420021607
328,4535,587976,923,39592,0.39190624
11568,46646,1634835,18631,328776,0.641539333
9754,37997,1261238,21098,239204,0.617515141
351,2954,298844,1102,32713,0.562391996
22042,63985,1292595,32092,274111,0.65725904
2155,19981,1244572,8015,167482,0.528160922
340,6240,484084,1268,39512,0.482383236
3532,18181,1107452,9803,201427,0.584175221
2876,12021,594747,7418,117980,0.628259938
1193,10396,799323,2912,75323,0.508844883
808,4959,480895,1632,55601,0.538924608
